Street Address,Neighborhood,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
286 CONCORD AVE,10,230-2,230,2,6324,013,Residential w/ Commercial,MULTIUSE-RES,6,mixed,,,,,POINT (-71.1339050466 42.3835099714)
12 CREIGHTON ST,11,200-45,200,45,4500,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1224013751 42.3904280663)
115 HOLWORTHY ST,13,253-110,253,110,4500,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1504671708 42.3778282458)
125 CAMBRIDGEPARK DR,11,267.4-288,267.4,288,127795,346,Office,INV-OFFICE,0,,,,,,POINT (-71.1456610988 42.3955070788)
19-19 A HOWARD ST,7,126-83,126,83,2355,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1109189427 42.3642016884)
221 LAKEVIEW AVE,10,234-127,234,127,6750,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1402570495 42.3826863692)
1707 CAMBRIDGE ST,6,142-14,142,14,5760,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1120671992 42.3754656822)
344 HARVARD ST,6,116-20,116,20,8826,121,Boarding House/Assisted Living,BOARDING-HSE,16,,,,,,POINT (-71.1094966573 42.37057737410001)
4 PORTER CIR,11,178-73,178,73,2300,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1216602355 42.3898817278)
38 GORE ST,1,20-102,20,102,1760,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0792677104 42.371523579000005)
10 FIFTH ST,1,22-70,22,70,1550,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0826823106 42.3725008827)
55 SOUTH NORMANDY AVE,12,267A-240,267A,240,5072,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1560150138 42.393851894)
105 TROWBRIDGE ST #2,6,142-157,142,157,1371,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1098651449 42.3766769294)
2400 MASSACHUSETTS AVE,11,191-112,191,112,27238,345,Office,RETAIL-OFFIC,0,,,,,,POINT (-71.1305153614 42.396987413800005)
351 CONCORD AVE,9,262-76,262,76,4500,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1360879783 42.3849658833)
32 FAIRMONT AVE,5,127-37,127,37,3015,111,Residential,4-8-UNIT-APT,5,,,,,,POINT (-71.11255396440002 42.3615465021)
17 MARION ST,3,36-198,36,198,1405,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0889846984 42.3727726024)
6 RINDGE TER,11,198-87,198,87,3120,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1266002709 42.3928488017)
87 SEVENTH ST,1,34-71,34,71,3000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0860144292 42.3705264213)
42-44 SPINELLI PL,12,267D-333,267D,333,26308,390,Vacant,COM-DEV-LAND,0,,,,,,POINT (-71.1529041856 42.3922786774)
71 TREMONT ST,3,84-29,84,29,1600,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0976762431 42.3724937218)
17 VANDINE ST,3,40-117,40,117,3393,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0910204527 42.369178674)
6 HANCOCK PL,6,117-81,117,81,744,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1067993069 42.3695535709)
118 LAKEVIEW AVE,10,235-26,235,26,11475,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.13996815830001 42.3796951839)
155 HARVEY ST,11,190-149,190,149,1950,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1349322487 42.3975817446)
11 STORY ST,10,168-7,168,7,11738,112,Residential,>8-UNIT-APT,25,,,,true,,POINT (-71.122778708 42.374007972)
124 JACKSON ST,11,190-33,190,33,12000,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1356125655 42.3969883047)
61-63 FAYERWEATHER ST,10,236-88,236,88,5250,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1378286626 42.380373263)
53 BOW ST,7,160-60,160,60,47036,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.1170922992 42.3721041593)
1336-1362 MASSACHUSETTS AVE,7,160-14,160,14,75894,345,Office,RETAIL-OFFIC,0,,,,,Educ NonTax,POINT (-71.1186483353 42.3726585186)
3 IRVING TER,6,142-135,142,135,1174,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1112386304 42.375873240400004)
80-90 Broadway,2,44-104,44,104,41170,346,Office,INV-OFFICE,0,,,,,,POINT (-71.0870752447 42.3634359793)
25 SCIARAPPA ST,1,22-123,22,123,3204,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.081475482 42.3722371622)
28 PORTER RD,11,178-37,178,37,2258,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1207440598 42.3888285958)
9 AUSTIN PK,6,107-98,107,98,3317,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1035712118 42.3675619205)
15 FIFTH ST,1,22-32,22,32,1800,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0830867235 42.3725596868)
195 HARVARD ST,4,76-88,76,88,1594,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0974870108 42.3670499541)
36 HUBBARD AVE,9,202-51,202,51,3789,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1270759746 42.3883301916)
30-32 BIGELOW ST,6,118-74,118,74,2966,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.1046717628 42.3684317499)
312 MEMORIAL DR,2,58-109,58,109,6541,9421,Education Residential,Private College Res Units,2,,,,,Educ NonTax,POINT (-71.0938458592 42.3573215326)
335 WASHINGTON ST,4,89-17,89,17,2040,337,Transportation,PARKING-LOT,0,,,,,Religious NonTax,POINT (-71.0988044227 42.365586107)
4 WILSON AVE,11,195-55,195,55,4717,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1303413013 42.392785206)
3 WALKER ST,9,214-62,214,62,3559,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.124221948 42.3796289853)
11 KENWOOD ST,5,101-40,101,40,2221,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1116981696 42.3600850767)
45 JAY ST,7,123-31,123,31,5120,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1103019566 42.3658533284)
375-381 NORFOLK ST,3,82-96,82,96,4937,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.096256217 42.3735746993)
1 RIVERSIDE PL,7,130-8,130,8,1174,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1146989516 42.3646922376)
9 CAMDEN PL,10,221-45,221,45,2160,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1312508488 42.3751717677)
29 ANDREW ST,5,127-172,127,172,1360,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.112302959 42.3614803311)
237 PEARL ST,5,102-97,102,97,2047,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1090444748 42.3589619918)
24 VALENTINE ST,5,94-110,94,110,2986,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1061244589 42.3602703333)
253 BROADWAY,4,76-11,76,11,6460,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0958959912 42.3675877693)
16 OAKLAND ST,3,83-32,83,32,2368,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0988577918 42.3740381583)
11 ST PAUL ST,6,107-55,107,55,2264,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1031849979 42.3679445586)
32 MAY ST,13,257-31,257,31,2250,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1539805011 42.3790152553)
17 FRESH POND PKWY,10,247-80,247,80,40666,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1406364092 42.3766566069)
50 GARDEN ST,9,215-22,215,22,9530,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1253513843 42.380042741)
94 ABERDEEN AVE,10,252A-125,252A,125,5000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1472683199 42.3776832792)
23 SIXTH ST,1,34-46,34,46,1560,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.0849876906 42.3714618751)
30 SECOND ST,1,18-26,18,26,2250,031,Commerical w/ Residential,MULTIUSE-COM,1,mixed,,,true,,POINT (-71.078443531 42.37037352210001)
6 LONGFELLOW PK,10,219-47,219,47,8905,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.126519821 42.3757908105)
441 BROADWAY,6,138-2,138,2,232128,934,Education,Public Schools,0,,,,,City NonTax,POINT (-71.1097841553 42.373918032)
107 ELLERY ST,6,138-8,138,8,3718,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1088499793 42.3743184503)
125 COOLIDGE HILL,10,242A-109,242A,109,9185,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1381488491 42.37335864540001)
38 PEARL ST,5,93-52,93,52,1746,9421,Education Residential,Private College Res Units,1,,,,,Religious NonTax,POINT (-71.1032537054 42.3638294214)
3 WALNUT AVE,9,177-18,177,18,11180,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.121907467 42.3866897161)
58 ROSELAND ST,8,153-21,153,21,2305,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1168368895 42.3865407485)
177 LAKEVIEW AVE,10,234-104,234,104,3272,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.139962189 42.3815034134)
331 BROADWAY,6,109-21,109,21,8655,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.1020313465 42.3700107849)
605 PUTNAM AVE,5,66-133,66,133,1889,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1067253969 42.3564749627)
274-276 CONCORD AVE,10,230-5,230,5,6420,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1335261169 42.3833398454)
22-26 SPARKS ST,10,220-102,220,102,3548,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1302615499 42.3758605539)
25 TUFTS ST,5,99-74,99,74,3669,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1115712823 42.3576451095)
NEW YORK CENTRL,4,53-70,53,70,110208,975,Transportation,MBTA/Railroad,0,,,,,Educ NonTax,POINT (-71.0931048482 42.3615567345)
33 SCIARAPPA ST,1,23-34,23,34,1500,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0815182028 42.37183908210001)
42 HURON AVE,9,207-17,207,17,4000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1276837594 42.3846201705)
607 FRANKLIN ST,7,121-45,121,45,4280,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1129132165 42.3686021939)
115 RIVER ST,7,125-56,125,56,3360,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.1085682461 42.3641579434)
4 CARLISLE ST,3,84-45,84,45,2640,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0978767427 42.3721365694)
111 GROZIER RD,10,248-68,248,68,4554,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.142196268 42.3810209954)
5 EIGHTH ST,1,34-12,34,12,2210,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0864520927 42.3715572178)
11 BRATTLE CIR,10,246A-44,246A,44,4502,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1415619578 42.3754246366)
1702 MASSACHUSETTS AVE,9,174-73,174,73,4247,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.1198543497 42.383208057)
4 GORHAM ST,8,149-135,149,135,2854,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1141007994 42.3805863377)
58 HOWARD ST,7,123-50,123,50,3600,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.11069439020001 42.3659925322)
7 NORMAN ST,13,255-77,255,77,2608,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1522571185 42.3753636756)
14 DOVER ST,11,182-71,182,71,5040,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1263640945 42.394651171)
503 CONCORD AVE,9,273-1,273,1,26500,424,Utility,PUB UTIL REG,0,,,,,,POINT (-71.1412792008 42.3874278538)
7-9 SPRINGFIELD ST,3,83-97,83,97,4445,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1001786221 42.3739654828)
183 RIVER ST,7,125-14,125,14,5922,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1104242839 42.363571057200005)
32 LOOMIS ST,12,267C-53,267C,53,5422,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1545903673 42.3933439928)
413 BROADWAY,6,139-35,139,35,2652,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1088091762 42.3727217564)
195 GREEN ST,5,93-86,93,86,4420,112,Residential,>8-UNIT-APT,9,,,,true,,POINT (-71.1023821183 42.3639393599)
170 MIDDLESEX ST,11,195-143A,195,143A,26261,940,Education,Private Pre & Elem School,0,,,,,,POINT (-71.1316605649 42.3921540644)
98 LARCH RD,10,249-18,249,18,6035,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1429790838 42.37838395)
26 LOWELL ST,10,221-12,221,12,2779,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1329510895 42.375315057)
10 HOLDEN GREEN,8,146A-145,146A,145,29397,9421,Education Residential,Private College Res Units,58,,,true,,Educ NonTax,POINT (-71.1081526221 42.3786451103)
35 NORRIS ST,11,192-120,192,120,3134,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1300054713 42.3954957566)
73 ABERDEEN AVE,10,251-177,251,177,5544,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1463216101 42.3773514151)
27 JEFFERSON ST,3,36-96,36,96,7764,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.0892528372 42.3732313021)
77 PARK AVE,13,253-41,253,41,3373,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1496773053 42.3772541193)
12 CRESCENT ST,8,150-29,150,29,2843,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1156828624 42.3829044846)
168R BRATTLE ST,10,239-64,239,64,71531,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1347215442 42.37624105650001)
7 WESTLEY AVE,11,190-23,190,23,2387,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1323626935 42.39763365460001)
351 HARVARD ST,6,135-108,135,108,16109,112,Residential,>8-UNIT-APT,20,,,,,,POINT (-71.1101500261 42.3713445317)
12 DAY ST,11,182-26,182,26,4690,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.125105721 42.3944302813)
1 CORNELIUS WAY,3,39-163,39,163,3754,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0900970835 42.3689317756)
160 CHERRY ST,4,74-137,74,137,1868,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0964617566 42.3660623057)
22 GRAY GDNS E,9,207-27,207,27,8172,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.12717258000002 42.3838025947)
57 FULKERSON ST,1,33-7,33,7,1263,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0874778854 42.3703676805)
36 CHURCHILL AVE,11,185-57,185,57,9010,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1316280096 42.4009037881)
124 PEARL ST,5,94-138,94,138,3550,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1056014392 42.3616622179)
148-154 GORE ST,1,35-70,35,70,3259,111,Residential,4-8-UNIT-APT,6,,,,true,,POINT (-71.0850576486 42.3723927412)
9 ROBERTS RD,6,140-113,140,113,3920,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1088751643 42.3756336844)
48 MURRAY HILL RD,11,185-27,185,27,6064,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1342953941 42.4017458584)
163 ERIE ST,5,94-202,94,202,1920,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1068737218 42.3598301866)
5 FULLER PL,10,167-55,167,55,3126,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1236746527 42.374709522)
3 ARCADIA ST,8,151-63,151,63,2023,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1147085308 42.3837504251)
17 MEACHAM RD,11,183-58,183,58,3450,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1266287296 42.3959011171)
167 MAGAZINE ST,5,100-20,100,20,3600,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1131250009 42.3575716116)
21 CLINTON ST,6,117-60,117,60,4000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1058891435 42.3688914114)
255 BLANCHARD RD,12,267.3-255,267.3,255,6231,391,Vacant,COM-PDV-LAND,0,,,,,,POINT (-71.1581078866 42.39468982)
13 MOONEY ST,12,267.3-226,267.3,226,93932,401,Industrial,WAREHOUSE,0,,,,,,POINT (-71.1510022814 42.3947361724)
59 MADISON AVE,11,188-103,188,103,2047,130,Vacant,RES-DEV-LAND,0,,,,,,POINT (-71.1359157152 42.3986578056)
266 COLUMBIA ST,4,77-22,77,22,2100,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0961857204 42.36953451330001)
87 SIXTH ST,1,32-43,32,43,837,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0856768467 42.3687390771)
101 WALDEN ST,9,202-67,202,67,4372,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1261400328 42.3880488451)
93 SPRING ST,1,25-74,25,74,1875,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0824257307 42.3694169258)
160 PEMBERTON ST,11,195-103,195,103,4036,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1299672652 42.3909207032)
616 GREEN ST,7,121-21,121,21,4270,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1117926842 42.3684989808)
198 BRATTLE ST,10,246-27,246,27,12662,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1386680995 42.3763140239)
390 RINDGE AVE,11,268B-46,268B,46,8448,111,Residential,4-8-UNIT-APT,8,,,,true,,POINT (-71.1394865375 42.3937950767)
36 CLIFTON ST,11,269-21,269,21,6000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1365635326 42.3946449717)
6-8 JAY ST,7,125-36,125,36,5000,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.10952792000002 42.3641509242)
112 PACIFIC ST,5,95-59,95,59,8709,400,Industrial,MANUFACTURNG,0,,,,,,POINT (-71.1037510585 42.3609637087)
8 CHAUNCY ST,9,172-63,172,63,10803,112,Residential,>8-UNIT-APT,25,,,,,,POINT (-71.1211552522 42.3796021305)
265 THIRD ST,1,28-33,28,33,109330,112,Residential,>8-UNIT-APT,186,,,,,,POINT (-71.083313832 42.3662625503)
50 PRINCE ST,5,101-63,101,63,3956,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1110024295 42.3607609351)
6 WORCESTER ST,4,89-38,89,38,2045,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0986710406 42.3663688157)
170 LARCH RD,10,259-10,259,10,2969,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.14377013 42.380363080600006)
9 REED ST,11,192-153,192,153,3803,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1318963926 42.3937300399)
SIXTH ST,1,29-45,29,45,6907,930,Government,Government Operations,0,,,,,Federal NonTax,POINT (-71.0866730772 42.3644606053)
222 CHARLES ST,1,27-87,27,87,2124,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.0846732927 42.3679988489)
52 WALDEN ST,11,200-72,200,72,2191,424,Utility,PUB UTIL REG,0,,,,,,POINT (-71.124388758 42.3894922129)
140 ANTRIM ST,6,114A-64,114A,64,3710,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.10131573290002 42.3733101591)
96 TROWBRIDGE ST,6,140-144,140,144,6009,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.10957436990002 42.37588157)
9R FOLLEN ST,9,172-21,172,21,19652,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1225641861 42.378800819)
338 CONCORD AVE,10,263-44,263,44,4914,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1357787568 42.3843555909)
0 Monsignor Obrien Hwy,1,1A-179,1A,179,28816,975,Transportation,MBTA/Railroad,0,,,,,,POINT (-71.0795908652 42.3731146807)
379 COLUMBIA ST,3,80-8,80,8,3800,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.095188682 42.3722099875)
18 ELIOT ST,10,162-26,162,26,6825,326,Commercial,EATING-ESTBL,0,,,,,,POINT (-71.121394139 42.3721001164)
653-655 CONCORD AVE,12,267E-269,267E,269,36446,112,Residential,>8-UNIT-APT,37,,,,true,,POINT (-71.1488156953 42.3902180396)
43 LARCH RD,10,247-72,247,72,10087,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.14189197660001 42.3771913732)
39 HAMMOND ST,8,149-93,149,93,8020,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1148773317 42.3809456661)
12 LOCUST ST,13,254-20,254,20,4254,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1513193714 42.3779719529)
92 HOLWORTHY ST,13,254-68,254,68,6580,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1510973991 42.3771271516)
160 HANCOCK ST,6,115-19,115,19,5758,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.106353729 42.370490177)
1 BRYANT ST,8,147-36,147,36,9284,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.112116251 42.3798457209)
202 GARDEN ST,9,262-23,262,23,3553,132,Vacant,RES-UDV-LAND,0,,,,,,POINT (-71.1336157802 42.3859689565)
66-72 HARVEY ST,11,190-267,190,267,6778,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1325399511 42.397104344)
201 ELM ST,3,85-42,85,42,1600,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0963871159 42.371620463000006)
27 SULLIVAN RD,13,255-34,255,34,3704,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.153567857 42.3759047579)
505 GREEN ST,7,119-16,119,16,2805,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1086346431 42.3675727398)
1270 MASSACHUSETTS AVE,7,160-46,160,46,5228,0942,Education w/ Commercial,Higher Ed and Comm Mixed,0,groundfloor,,,,,POINT (-71.1166602861 42.37252571740001)
19-21 FAIRFIELD ST,11,198-52,198,52,5142,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1262398601 42.3919111273)
20 UPTON ST,5,104-54,104,54,1640,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1087310529 42.3627363601)
1-3 MARCELLA ST,3,37-65,37,65,3362,112,Residential,>8-UNIT-APT,16,,,,,,POINT (-71.0891106333 42.3714185546)
121 FAYERWEATHER ST,10,263-106,263,106,4230,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1368653868 42.3836433667)
36 TROWBRIDGE ST,6,135-88,135,88,5993,111,Residential,4-8-UNIT-APT,5,,,,,,POINT (-71.1114922558 42.3718010111)
94 BRATTLE ST,10,167-69,167,69,10816,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1255002739 42.3759678135)
32 MAGOUN ST,11,189-26,189,26,4000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1349533483 42.3995850226)
25 CHILTON ST,10,233-110,233,110,4600,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1383468703 42.3820409351)
235 THIRD ST,1,27-35,27,35,2911,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0818244763 42.3671926015)
128-130 THORNDIKE ST,1,25-92,25,92,4051,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0840426367 42.3699384281)
29-31 CHATHAM ST,6,115-82,115,82,3150,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1084938023 42.371511803)
201 HARVARD ST,4,88-36,88,36,3600,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.098057198 42.36727607740001)
14 RESERVOIR ST,10,238-78,238,78,18095,130,Vacant,RES-DEV-LAND,0,,,,,,POINT (-71.13677290720001 42.3783901475)
29 CHILTON ST,10,233-197,233,197,4250,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1383413964 42.382194733)
105 FAYERWEATHER ST,10,233-97,233,97,3750,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.13731804170001 42.3826501307)
5 BISHOP ALLEN DR,4,75-125,75,125,2522,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.0983399369 42.3636822719)
12 SAGINAW AVE,11,179-12,179,12,3054,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1188464047 42.39052018420001)
10 MARIE AVE,6,112-83,112,83,3238,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1045345496 42.3734785736)
6 UNION ST,4,77-35,77,35,2875,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0956879266 42.3686195396)
68 CLAY ST,11,193-178,193,178,360,972,Transportation,Road Right of Way,0,,,,,City NonTax,POINT (-71.1345167779 42.3954433684)
17 VINEYARD ST,13,257-10,257,10,4754,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1530232082 42.3790548227)
101 REED ST,11,191-28,191,28,2870,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1319811371 42.3963074673)
21 TRAYMORE ST,8,151-45,151,45,2438,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1152243536 42.3842284695)
46 HAYES ST,7,122-98,122,98,2625,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.11161080570001 42.3664950205)
30 KELLEY ST,9,229-158,229,158,3662,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1314874765 42.3832487786)
900 MEMORIAL DR,7,130-144,130,144,257503,9421,Education Residential,Private College Res Units,244,,,true,,Educ NonTax,POINT (-71.1141591793 42.3667144955)
880 MEMORIAL DR,7,130-1,130,1,23655,9421,Education Residential,Private College Res Units,18,,,true,,Educ NonTax,POINT (-71.1151533424 42.364831907)
23 CLIFTON ST,11,193-23,193,23,6000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1359516824 42.3944413932)
99 FAYERWEATHER ST,10,233-91,233,91,3750,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1373863629 42.3823409188)
46-48 AVON HILL ST,9,211-20,211,20,5000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1241326403 42.3847932149)
25 HIGHLAND AVE,6,112-21,112,21,11572,112,Residential,>8-UNIT-APT,9,,,,true,,POINT (-71.1065504224 42.3725201639)
82 INMAN ST,6,109-34,109,34,3218,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1018818078 42.3711696829)
18 LOCKE ST,11,183-36,183,36,3887,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1268584411 42.3965482573)
44 BELLIS CIR,9,271-42,271,42,2641,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.133752903 42.3903301908)
6 CHATHAM ST,6,115-56,115,56,3500,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.107085548 42.3706632851)
851 CAMBRIDGE ST,3,36-266,36,266,4475,390,Vacant,COM-DEV-LAND,3,groundfloor,,,,,POINT (-71.090981661 42.3726864218)
26 FAIRMONT ST,5,101-89,101,89,5000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1106616729 42.3613623146)
